author,label,party,state,PEC135,ideology_2021,mean_page_followers,louvain_community,degree,strength,total_posts,total_image_posts,total_video_posts,total_text_posts,total_engagement,mean_engagement,Q1,Q2,Q3,is_wolf
danielacarneirooficial,Daniela Carneiro,MDB,RJ,0,0.137,27620.849839113336,2,108,24.518758003625738,2798,2439,341,18,1270605,454.1118656182988,3,0,0,0
RonaldoCarlettoOficial,Ronaldo Carletto,PP,BA,0,0.51,23402.48416289593,2,105,24.42071723887751,2211,1821,379,11,51034,23.08186341022162,2,0,0,0
rafaelmottarn,Rafael Motta,PSB,RN,0,-0.427,26469.653846153848,2,90,24.265345822491582,2444,1955,488,1,325858,133.32978723404256,11,1,0,0
fabiohenriquese,Fábio Henrique,PDT,SE,0,-0.356,14082.213194868662,2,120,23.29617816015116,1637,1132,503,2,87501,53.452046426389735,4,0,0,0
iracemaportella,Iracema Portella,PP,PI,1,0.51,76384.09485787289,2,115,23.240846043565043,3131,2825,287,19,1124765,359.2350686681571,1,0,0,0
RosanaValleOficial,Rosana Valle,PL,SP,1,0.493,239213.2302433689,2,104,22.90993511166492,3657,2275,1304,78,7648142,2091.3705222860267,10,4,0,0
fabiogov55,Fábio Mitidieri,PSD,SE,0,0.296,19543.004363001746,2,104,22.431470919458935,2292,1765,514,13,152581,66.57111692844677,1,0,0,0
GutembergReisOficial,Gutemberg Reis,MDB,RS,1,0.137,55004.996229260934,2,115,22.38001124041201,3978,2980,988,10,656040,164.91704374057315,5,2,0,0
sebastiaooliveirape,Sebastião Oliveira,AVANTE,PE,0,0.455,20468.478578892373,2,113,22.283279842002806,957,789,165,3,149584,156.30512016718913,0,0,0,0
FernandoRodolfoTV,Fernando Rodolfo,PL,PE,0,0.493,83218.18527918782,2,106,22.044072847731368,788,352,395,41,1758863,2232.0596446700506,0,0,0,0
miltonvieiraoficial,Milton Vieira,REPUBLICANOS,SP,0,0.55,140216.92980705257,2,97,21.936022075714384,3006,2241,760,5,1157438,385.04258150365933,5,3,0,0
DeputadoTadeuAlencar,Tadeu Alencar,PSB,PE,0,-0.427,45157.437456324245,2,100,21.78956019720005,1431,1168,233,30,262020,183.1027253668763,7,5,0,0
deputadopaulofreire,Deputado Paulo Freire Costa,PL,SP,0,0.493,118406.29530638852,2,101,21.55963889010701,1535,1347,169,19,191296,124.62280130293159,0,0,0,0
flaviamorais1212,Flávia Morais,PDT,GO,0,-0.356,79652.69239052405,2,93,21.310603224999944,2786,2515,260,11,1102723,395.80868628858576,3,0,0,0
