Id	Label	author	party	state	PEC135	ideology_2021	louvain_community	degree	strength	total_posts	total_engagement	mean_engagement	Q1	Q2	is_wolf
jfmargarida	Margarida Salomão	jfmargarida	PT	MG	0	-0.691	3	100	100	211	144295	683.8625592417062	6	2	0
odaircunhamg	Odair Cunha	odaircunhamg	PT	MG	0	-0.691	3	96	96	151	49883	330.35099337748346	10	5	0
nataliabonavides	Natália Bonavides	nataliabonavides	PT	RN	0	-0.691	3	95	95	319	97569	305.858934169279	18	11	0
aureacarolina	Áurea Carolina	aureacarolina	PSOL	MG	0	-0.874	3	93	93	332	85522	257.59638554216866	14	7	0
rfalcao13	Rui Falcão	rfalcao13	PT	SP	0	-0.691	3	92	92	166	181994	1096.3493975903614	19	14	0
freianastaciopt	Frei Anastacio Ribeiro	freianastaciopt	PT	PB	0	-0.691	3	91	91	184	7689	41.78804347826087	15	6	0
helder.salomao.1350	Helder Salomão	helder.salomao.1350	PT	ES	0	-0.691	3	84	84	243	112709	463.8230452674897	27	16	0
marciojerry	Márcio Jerry	marciojerry	PCDOB	MA	0	-0.822	3	83	83	167	12226	73.20958083832335	15	4	0
depvalmir	Valmir Assunção Lula da Silva	depvalmir	PT	BA	0	-0.691	3	75	75	99	4779	48.27272727272727	8	3	0
luiziannelinsPT	Luizianne Lins	luiziannelinsPT	PT	CE	0	-0.691	3	75	75	103	55014	534.1165048543689	12	5	0
luizaerundina	Luiza Erundina	luizaerundina	PSOL	SP	0	-0.874	3	72	72	307	390519	1272.0488599348535	30	21	0
pimenta13br	Paulo Pimenta	pimenta13br	PT	RS	0	-0.691	3	71	71	624	2048517	3282.8798076923076	88	57	0
CelioMouraTO	Célio Moura	CelioMouraTO	PT	TO	0	-0.691	3	70	70	112	16919	151.0625	9	3	0
DeputadoFederalVicentinho	Deputado Federal Vicentinho	DeputadoFederalVicentinho	PT	SP	0	-0.691	3	67	67	114	34364	301.43859649122805	21	15	0
ottoalencaroficial	Otto Alencar	ottoalencaroficial	PSD	BA	0	0.296	3	67	67	41	14494	353.5121951219512	3	1	0
edmilsonpsol	Edmilson Rodrigues	edmilsonpsol	PSOL	PA	0	-0.874	3	66	66	113	303839	2688.8407079646017	4	0	0
rubenspereirajrs	Rubens Jr	rubenspereirajrs	PT	MA	0	-0.691	3	66	66	38	7310	192.3684210526316	9	4	0
taliriapetronepsol	Talíria Petrone	taliriapetronepsol	PSOL	RJ	0	-0.874	3	64	64	319	150441	471.60188087774293	38	25	0
nelsonpelegrino	Nelson Pelegrino	nelsonpelegrino	PT	BA	0	-0.691	3	56	56	33	12159	368.45454545454544	0	0	0
nerigelleroficial	Neri Geller	nerigelleroficial	PP	MT	1	0.51	3	53	53	16	805	50.3125	2	0	0
pompeodemattospdt	Pompeo de Mattos	pompeodemattospdt	PDT	RS	1	-0.356	3	52	52	109	75659	694.1192660550458	20	13	1
AndreJanones	André Janones	AndreJanones	AVANTE	MG	0	0.455	3	46	46	55	4488956	81617.38181818182	12	6	0
PoliticoEliasVaz	Elias Vaz	PoliticoEliasVaz	PSB	GO	0	-0.427	3	45	45	182	98658	542.0769230769231	10	7	0
sebastiaooliveirape	Sebastião Oliveira	sebastiaooliveirape	AVANTE	PE	0	0.455	3	41	41	16	902	56.375	0	0	0
Dep.Joeniawapichana	Joenia Wapichana	Dep.Joeniawapichana	REDE	RR	0	-0.555	3	36	36	183	56722	309.95628415300547	5	1	0
leonidascristinooficial	Leônidas Cristino	leonidascristinooficial	PDT	CE	0	-0.356	3	36	36	32	2692	84.125	8	2	0
luiz.caetanoBA	Luiz Caetano	luiz.caetanoBA	PT	BA	0	-0.691	3	30	30	8	1242	155.25	1	0	0
jean.wyllys	Jean Wyllys	jean.wyllys	PSOL	BA	0	-0.874	3	26	26	20	69304	3465.2	0	0	0
kimkataguiri	Kim Kataguiri	kimkataguiri	DEM	SP	0	0.431	3	24	24	445	2182899	4905.391011235955	37	23	0
profmarcivania	Professora Marcivânia	profmarcivania	PCDOB	AP	0	-0.822	3	23	23	20	5560	278	1	1	0
VilsondaFetaemg	Vilson da Fetaemg	VilsondaFetaemg	PSB	MG	0	-0.427	3	22	22	5	1912	382.4	0	0	0
ZeRicardoAM	José Ricardo	ZeRicardoAM	PT	AM	0	-0.691	3	18	18	104	26796	257.65384615384613	5	2	0
pastorisidoriofilho	Pastor Isidório Filho	pastorisidoriofilho	AVANTE	BA	0	0.455	3	8	8	5	377	75.4	1	0	0
pedrobezerradep	Pedro Bezerra	pedrobezerradep	PDT	CE	0	-0.356	3	5	5	4	358	89.5	0	0	0
wilsonsantiagopb	Wilson Santiago	wilsonsantiagopb	REPUBLICANOS	PB	0	0.55	3	5	5	1	31	31	0	0	0
