name,facebook_handle,twitter_handle,party,state
Mário Negromonte Júnior,mario.negromontejunior,JrNegromonte,PP,BA
Marlon Santos,MarlonSantosPolitico,,PL,RS
Marreca Filho,depmarrecafilho,depmarrecafilho,PATRIOTA,MA
Marx Beltrão,MarxBeltrao,marxbeltrao,PP,AL
Maurício Bacelar,MauricioBacelarOficial,BacelarMauricio,PV,BA
Mauro Benevides Filho,maurobenevidesf,mauro_bfilho,PDT,CE
Miguel Lombardi,miguellombardi.deputadofederal,,PL,SP
Milton Vieira,miltonvieiraoficial,MiltonVieiraOfc,REPUBLICANOS,SP
Misael Varella,deputadomisaelvarella,VarellaMisael,PSD,MG
Moses Rodrigues,MosesRodriguesOficial,DepFederalMoses,MDB,CE
Motta,mottadoscomerciarios,deputadomotta,PL,SP
Natália Bonavides,nataliabonavides,natbonavides,PT,RN
Nelson Barbudo,onelsonbarbudo,nelsonbarbudo,PL,MT
Nelson Pelegrino,nelsonpelegrino,nelsonpelegrino,PT,BA
Neri Geller,nerigelleroficial,,PP,MT
Ney Leprevost,amigoneyleprevost,neyleprevost,PSD,PR
Nilson Pinto,DeputadoNilsonPinto,DepNilsonPinto,PSDB,PA
Nilto Tatto,niltotattosp,NiltoTatto,PT,SP
Norma Ayub,DeputadaNormaAyub,normaayub11,PP,ES
Odair Cunha,odaircunhamg,odaircunhamg,PT,MG
Onyx Lorenzoni,onyx.lorenzoni,onyxlorenzoni,DEM,RS
Orlando Silva,orlandosilvasp,orlandosilva,PCdoB,SP
Osires Damaso,OsiresDamaso,deposiresdamaso,PSC,TO
Osmar Terra,DeputadoOsmarTerra,OsmarTerra,MDB,RS
Ossesio Silva,Ossesio.Silva,OssesioSilva,REPUBLICANOS,PE
Otoni de Paula,OtoniDeputadoFederal,OtoniDepFederal,MDB,RJ
Ottaci,ottacinascimento,OttaciRR,SOLIDARIEDADE,RR
Otto Alencar,ottoalencaroficial,OttoAlencarFilh,PSD,BA
Padre João,padrejoao,padrejoaozinho,PT,SP
Pastor Alex Santana,depalexsantana,depalexsantana,REPUBLICANOS,BA
Pastor Isidório Filho,pastorisidoriofilho,prisidorio,AVANTE,BA
Patrus Ananias,patrusananias13,Patrus_Ananias,PT,MG
Paula Belmonte,paulabelmonteoficial,paulambelmonte,CIDADANIA,DF
Paulão,paulaodopt,paulaodopt,PT,AL
Paulo Abi-Ackel,abiackelpaulo,pauloabiackel,PSDB,MG
Paulo Azi,pauloazi,PauloAzi,DEM,BA
Paulo Bengtson,prpaulobengtson,PauloBengtson,PTB,PA
Paulo Eduardo Martins,PauloEduardoOficial,PauloMartins10,PL,PR
Paulo Foletto,PauloFoletto,DeputadoFoletto,PSB,ES
Paulo Ganime,pauloganime,pauloganime,NOVO,RJ
Paulo Pimenta,pimenta13br,Pimenta13Br,PT,RS
Paulo Teixeira,PauloTeixeira13,pauloteixeira13,PT,SP
Pedro Bezerra,pedrobezerradep,PedroABezerra,PDT,CE
Pedro Cunha Lima,pedrocloficial,pedroocl,PSDB,PB
Pedro Lucas Fernandes,pedrolucasfernandesdeputadofederal,depPedroLucasF,PTB,MA
Pedro Lupion,DeputadoPedroLupion,pedro_lupion,PP,PR
Pedro Paulo,rio.pedropaulo,pedropaulo,PSD,RJ
Pedro Uczai,PedroUczai,uczai,PT,SC
Pedro Westphalen,pedrowestphalen11,pedrowestphalen,PP,RS
Perpétua Almeida,perpetuaalmeida.acre,perpetua_acre,PCdoB,AC
Pinheirinho Deputado Federal,pinheirinhomg,pinheirinhomg,PP,MG
Policial Katia Sastre,policialkatiasastre,KatiaSastre,PL,SP
Pompeo de Mattos,pompeodemattospdt,PompeodeMattos,PDT,RS
Professor Alcides,ProfessorAlcidesoficial,,PL,GO
Professor Israel,profisrael,ProfIsrael,PSB,DF
Professor Joziel,professorjoziel,professorjoziel,PATRIOTA,RJ
Professora Dayane Pimentel,professoradayanepimentel,deppimentel,PSL,BA
Professora Dorinha,profdorinha,profdorinha,DEM,TO
Professora Marcivânia,profmarcivania,profmarcivania,PCdoB,AP
Professora Rosa Neide,ProfessoraRosaNeide,prof_rosaneide,PT,MT
Rafael Motta,rafaelmottarn,RafaelMottaRN,PSB,RN
Raimundo Costa,oficialraimundocosta,raimundocostaba,PODEMOS,BA
