"author","Id","Label","party","PEC135","avg_followers","total_posts","type","PDR_posts"
"deputadovermelho","author::deputadovermelho","deputadovermelho","PL",1,6142.40393518519,918,"author",0
"deputadoviniciusgurgel","author::deputadoviniciusgurgel","deputadoviniciusgurgel","PL",0,21389.6627680312,513,"author",0
"deputadovitorhugo","author::deputadovitorhugo","deputadovitorhugo","PL",1,46714.6275538894,5335,"author",0
"deputadowaldenorpereira","author::deputadowaldenorpereira","deputadowaldenorpereira","PT",0,38682.1768650461,2387,"author",0
"depvalmir","author::depvalmir","depvalmir","PT",0,49535.3830696879,2340,"author",0
"depwagnermontes","author::depwagnermontes","depwagnermontes","NotApplicable",-1,67882.1111111111,9,"author",0
"depwellingtonroberto","author::depwellingtonroberto","depwellingtonroberto","PL",0,13610.5173745174,259,"author",0
"depzecarlospt","author::depzecarlospt","depzecarlospt","PT",0,16125.6433121019,1570,"author",0
"depzeneto","author::depzeneto","depzeneto","PT",0,46010.2721155424,6093,"author",0
"diegoandrademg","author::diegoandrademg","diegoandrademg","PSD",1,47295.4244604317,556,"author",0
"diegogarciapr","author::diegogarciapr","diegogarciapr","REPUBLICANOS",1,84570.4481255449,4588,"author",13
"domingosnetoceara","author::domingosnetoceara","domingosnetoceara","PSD",0,47772.6133909287,1389,"author",0
"domingossaviomg","author::domingossaviomg","domingossaviomg","PL",1,82865.4931773879,1028,"author",0
"doutorluizinho","author::doutorluizinho","doutorluizinho","PP",0,68525.4851764706,2126,"author",0
"dr.jazielpereira","author::dr.jazielpereira","dr.jazielpereira","PL",1,13167.1423766816,892,"author",0
"dramarinapelopiaui","author::dramarinapelopiaui","dramarinapelopiaui","REPUBLICANOS",1,11414.929787234,470,"author",0
"drasorayamanato","author::drasorayamanato","drasorayamanato","PTB",1,42308.1052048726,2778,"author",46
"dravandamilani.ac","author::dravandamilani.ac","dravandamilani.ac","PROS",1,0,96,"author",0
"drdamiao","author::drdamiao","drdamiao","UNIAO",0,10820.1929824561,969,"author",0
"drdenisbezerra","author::drdenisbezerra","drdenisbezerra","NotApplicable",-1,18496.3774193548,1240,"author",0
"drfredericomg","author::drfredericomg","drfredericomg","PATRIOTA",1,50041.568503937,635,"author",0
"drhirangoncalves","author::drhirangoncalves","drhirangoncalves","PP",-1,28187.9076068079,2879,"author",0
"drleonardomt","author::drleonardomt","drleonardomt","NotApplicable",-1,23858.2400906002,1766,"author",0
"drluizovando","author::drluizovando","drluizovando","PP",1,20495.7840571089,1686,"author",17
"drmauronazif","author::drmauronazif","drmauronazif","PSB",1,17365.9406688242,929,"author",0
"dulcepaganimiranda","author::dulcepaganimiranda","dulcepaganimiranda","MDB",0,18528.6522318454,1503,"author",0
"edermauropa","author::edermauropa","edermauropa","PL",1,139766.728028504,2311,"author",8
"edilaziojunior","author::edilaziojunior","edilaziojunior","PSD",0,22918.9726907631,1245,"author",0
"edmilsonpsol","author::edmilsonpsol","edmilsonpsol","NotApplicable",-1,113223.359832636,4302,"author",0
"ednahenriqueoficial","author::ednahenriqueoficial","ednahenriqueoficial","REPUBLICANOS",1,8620.072,875,"author",2
"eduardobismarckce","author::eduardobismarckce","eduardobismarckce","PDT",0,21028.3034223706,2396,"author",0
"eduardobraide","author::eduardobraide","eduardobraide","NotApplicable",-1,68472.6949265688,1498,"author",0
"eduardocuryoficial","author::eduardocuryoficial","eduardocuryoficial","PSDB",0,138546.390625,1089,"author",0
"eduardodafonte","author::eduardodafonte","eduardodafonte","PP",0,64543.6754772394,681,"author",0
"efraimfilho","author::efraimfilho","efraimfilho","UNIAO",-1,57321.7828996283,1345,"author",0
"elcionebarbalh0","author::elcionebarbalh0","elcionebarbalh0","MDB",-1,51627.8472116119,2618,"author",0
"elmarnascimento","author::elmarnascimento","elmarnascimento","UNIAO",-1,27949.0851674641,1045,"author",0
"emanuelpinheiromt","author::emanuelpinheiromt","emanuelpinheiromt","MDB",1,56052.2438502674,935,"author",0
"emidinhomadeira","author::emidinhomadeira","emidinhomadeira","PL",1,28886.6489874638,2077,"author",1
"enioverri","author::enioverri","enioverri","PT",0,1170537.01122112,1525,"author",0
"enricogmisasi","author::enricogmisasi","enricogmisasi","MDB",1,106194.555045872,872,"author",0
