Source	Target	Type	Weight	similarity_total	weight_base	multimodal_multiplier	weight_multimodal_bonus	similarity_text	similarity_hashtag	similarity_domain	active_text	active_hashtag	active_domain	n_modalities_above_threshold	share_text	share_hashtag	share_domain	max_share	non_domain_similarity
fernandapsol	glauber.braga1	Undirected	2.0741513966593796	0.6913837988864598	0.6913837988864598	3	2.0741513966593796	0.6225089311073378	0.9135018755780041	0.5381405899740378	1	1	1	3	0.3001270457450446	0.44042198513053904	0.25945096912441634	0.44042198513053904	0.768005403342671
davidmirandario12	glauber.braga1	Undirected	2.0738028463682783	0.6912676154560927	0.6912676154560927	3	2.0738028463682783	0.5715435449696914	0.8196475987005812	0.6826117026980058	1	1	1	3	0.2756016783227972	0.39523892067945565	0.32915940099774726	0.39523892067945565	0.6955955718351363
davidmirandario12	fernandapsol	Undirected	2.067068817226092	0.689022939075364	0.689022939075364	3	2.067068817226092	0.6435249476398651	0.8484450791348479	0.5750987904513793	1	1	1	3	0.311322459260667	0.41045807089936215	0.27821946983997103	0.41045807089936215	0.7459850133873565
afonsoflorence13	DeputadoBetoFaro	Undirected	2.0615473612210375	0.6871824537403458	0.6871824537403458	3	2.0615473612210375	0.6202545078457157	0.6383356114700631	0.8029572419052585	1	1	1	3	0.30086842510294987	0.3096390718338783	0.38949250306317174	0.38949250306317174	0.6292950596578895
fernandapsol	samia.bomfim.psol	Undirected	2.0614442693864836	0.6871480897954946	0.6871480897954946	3	2.0614442693864836	0.7046921323126937	0.9151346057782941	0.44161753129549597	1	1	1	3	0.34184389206040505	0.4439288606383968	0.21422724730119816	0.4439288606383968	0.8099133690454938
glauber.braga1	luizaerundina	Undirected	2.0494719536487502	0.6831573178829168	0.6831573178829168	3	2.0494719536487502	0.565022936872651	0.7758637172756971	0.7085852995004022	1	1	1	3	0.27569195853923245	0.37856761879292783	0.3457404226678397	0.37856761879292783	0.6704433270741741
carlosveraspt	DeputadaMariaDoRosario	Undirected	2.04560976248091	0.6818699208269701	0.6818699208269701	3	2.04560976248091	0.6323337685140853	0.838221077777195	0.5750549161896298	1	1	1	3	0.3091174964609049	0.40976587673330356	0.28111662680579147	0.40976587673330356	0.7352774231456402
TulioGadelhaOficial	wolneyqueirozpe	Undirected	2.040151035424691	0.6800503451415637	0.6800503451415637	3	2.040151035424691	0.5328952377217135	0.654477625542439	0.8527781721605384	1	1	1	3	0.26120381700602013	0.3207986145036555	0.4179975684903243	0.4179975684903243	0.5936864316320762
deputadaaliceportugal	PauloTeixeira13	Undirected	2.037674509538622	0.679224836512874	0.679224836512874	3	2.037674509538622	0.45962150473567764	0.8038476131497696	0.7742053916531746	1	1	1	3	0.22556178751028638	0.3944926480587814	0.3799455644309322	0.3944926480587814	0.6317345589427237
deputadaaliceportugal	glauber.braga1	Undirected	2.0367922074000893	0.6789307358000297	0.6789307358000297	3	2.0367922074000893	0.4814763509484915	0.927912818638039	0.6274030378135588	1	1	1	3	0.2363895291818124	0.4555755934585467	0.3080348773596409	0.4555755934585467	0.7046945847932653
carlosveraspt	PauloTeixeira13	Undirected	2.035008226781314	0.6783360755937714	0.6783360755937714	3	2.035008226781314	0.6038086016581699	0.7928265401924132	0.6383730849307311	1	1	1	3	0.29671064407105036	0.38959377645681226	0.3136955794721374	0.38959377645681226	0.6983175709252916
DeputadaMariaDoRosario	PauloTeixeira13	Undirected	2.0292575744125623	0.676419191470854	0.676419191470854	3	2.0292575744125623	0.6875281930811579	0.7771570984246806	0.5645722829067241	1	1	1	3	0.33880775006109626	0.38297607372472425	0.2782161762141796	0.38297607372472425	0.7323426457529192
airtonfaleiropt	carlosveraspt	Undirected	2.025390668468917	0.6751302228229723	0.6751302228229723	3	2.025390668468917	0.5433175464451429	0.6733777474936021	0.8086953745301718	1	1	1	3	0.26825320907391204	0.33246808034453834	0.3992787105815495	0.3992787105815495	0.6083476469693725
IvanValentePSOL	samia.bomfim.psol	Undirected	2.025172522586852	0.6750575075289507	0.6750575075289507	3	2.025172522586852	0.7097983671842322	0.8599386199967751	0.45543553540584464	1	1	1	3	0.3504878519078325	0.4246248704274999	0.22488727766466757	0.4246248704274999	0.7848684935905037
afonsoflorence13	carlosveraspt	Undirected	2.0240662244098733	0.6746887414699577	0.6746887414699577	3	2.0240662244098733	0.6291603387329908	0.7702090697309382	0.6246968159459445	1	1	1	3	0.31083979918514065	0.38052562729537	0.3086345735194895	0.38052562729537	0.6996847042319645
ErikaKokay	TulioGadelhaOficial	Undirected	2.022706824755513	0.6742356082518377	0.6742356082518377	3	2.022706824755513	0.49041185873904825	0.6975717066726366	0.8347232593438281	1	1	1	3	0.2424532575541811	0.34487039749665793	0.4126763449491609	0.4126763449491609	0.5939917827058424
deputadaaliceportugal	DeputadaMariaDoRosario	Undirected	2.0226504127855445	0.6742168042618482	0.6742168042618482	3	2.0226504127855445	0.5212271043711433	0.8989411130268645	0.6024821953875367	1	1	1	3	0.25769510196936213	0.44443721334368647	0.2978676846869514	0.44443721334368647	0.710084108699004
afonsoflorence13	DeputadaMariaDoRosario	Undirected	2.0220484523147997	0.6740161507715999	0.6740161507715999	3	2.0220484523147997	0.6224102531866352	0.7426305338350947	0.6570076652930695	1	1	1	3	0.30781174035375497	0.3672664386379795	0.32492182100826544	0.3672664386379795	0.682520393510865
