Id	Label	author	party	state	PEC135	ideology_2021	louvain_community	degree	strength	total_posts	total_engagement	mean_engagement	Q1	Q2	is_wolf
sebastiaooliveirape	Sebastião Oliveira	sebastiaooliveirape	AVANTE	PE	0	0.455	3	4	4	16	902	56.375	0	0	0
betorosado1111	Beto Rosado	betorosado1111	PP	RN	0	0.51	3	3	3	32	2678	83.6875	3	0	0
depfederaltiagodimas	depfederaltiagodimas	depfederaltiagodimas	NotAvailable	NotAvailable	0		3	3	3	0	0	0	0	0	0
deputadofederalacaciofavacho	Acácio Favacho	deputadofederalacaciofavacho	MDB	AM	0	0.137	3	3	3	8	720	90	0	0	0
deputadojosenunes	José Nunes	deputadojosenunes	PSD	BA	0	0.296	3	3	3	4	276	69	0	0	0
edilaziojunior	Edilazio Júnior	edilaziojunior	PSD	MA	0	0.296	3	3	3	23	3456	150.2608695652174	5	1	0
HerculanoPassos	Herculano Passos	HerculanoPassos	REPUBLICANOS	SP	0	0.55	3	3	3	6	741	123.5	3	0	0
hugomottapb	Hugo Motta	hugomottapb	REPUBLICANOS	PB	0	0.55	3	3	3	1	348	348	0	0	0
profdorinha	Professora Dorinha	profdorinha	DEM	TO	0	0.431	3	3	3	16	456	28.5	5	0	0
albuquerque.aj	AJ Albuquerque	albuquerque.aj	PP	CE	0	0.51	3	2	2	4	730	182.5	1	0	0
carlosbezerraoficial	Carlos Bezerra	carlosbezerraoficial	MDB	MT	0	0.137	3	2	2	6	396	66	2	0	0
deputadoigorkannario	Deputado federal Igor Kannário	deputadoigorkannario	DEM	BA	1	0.431	3	2	2	4	4403	1100.75	1	0	0
DeputadoTadeuAlencar	Tadeu Alencar	DeputadoTadeuAlencar	PSB	PE	0	-0.427	3	2	2	68	10666	156.85294117647058	7	5	0
elmarnascimento	Elmar Nascimento	elmarnascimento	DEM	BA	0	0.431	3	2	2	24	1789	74.54166666666667	1	0	0
fernandofilhope	Fernando Filho	fernandofilhope	DEM	PE	0	0.431	3	2	2	10	1331	133.1	3	0	0
FernandoRodolfoTV	Fernando Rodolfo	FernandoRodolfoTV	PL	PE	0	0.493	3	2	2	9	109445	12160.555555555555	0	0	0
gustavofruet	Gustavo Fruet	gustavofruet	PDT	PR	0	-0.356	3	2	2	42	6579	156.64285714285714	6	0	0
jaquelinecassoloficial	Jaqueline Cassol	jaquelinecassoloficial	PP	RO	1	0.51	3	2	2	30	5872	195.73333333333332	8	4	1
MagdaMofatto.Goias	Magda Mofatto	MagdaMofatto.Goias	PL	GO	1	0.493	3	2	2	19	14382	756.9473684210526	6	3	1
mottadoscomerciarios	Motta	mottadoscomerciarios	PL	SP	0	0.493	3	2	2	15	928	61.86666666666667	8	1	0
policialkatiasastre	Policial Katia Sastre	policialkatiasastre	PL	SP	1	0.493	3	2	2	100	25613	256.13	16	6	1
celiosilveiradeputadogo	Deputado Célio Silveira	celiosilveiradeputadogo	MDB	GO	1	0.137	3	1	1	12	1162	96.83333333333333	4	1	0
charlesfernandesoficial	Charles Fernandes	charlesfernandesoficial	PSD	BA	0	0.296	3	1	1	28	3596	128.42857142857142	4	0	0
depwellingtonroberto	Wellington Roberto	depwellingtonroberto	PL	PB	0	0.493	3	1	1	1	54	54	0	0	0
leomottafederal	Deputado Federal Leo Motta	leomottafederal	REPUBLICANOS	MG	1	0.55	3	1	1	18	23431	1301.7222222222222	5	2	0
LucasRedecker	Lucas Redecker	LucasRedecker	PSDB	RS	1	0.157	3	1	1	21	10807	514.6190476190476	4	1	0
luistibeoficial	Luis Tibé	luistibeoficial	AVANTE	MG	0	0.455	3	1	1	9	846	94	5	1	0
MarxBeltrao	Marx Beltrão	MarxBeltrao	PP	AL	1	0.51	3	1	1	14	5139	367.07142857142856	2	2	0
ProfessorAlcidesoficial	Professor Alcides	ProfessorAlcidesoficial	PL	GO	1	0.493	3	1	1	16	1445	90.3125	2	0	0
joicehasselmann	Joice Hasselmann	joicehasselmann	PSDB	SP	0	0.157	4	76	76	266	2806948	10552.436090225563	28	10	0
josemedeirosMT	José Medeiros	josemedeirosMT	PL	MT	1	0.493	4	70	70	422	2266600	5371.090047393365	114	86	1
